[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 67/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 67/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 67/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 68/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 68/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 69/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 69/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 70/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 70/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 71/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 71/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 72/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 72/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 73/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 73/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 74/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 74/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 75/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 75/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 76/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 76/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 77/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 77/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 78/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 78/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 78/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 79/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 79/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 80/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 80/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 81/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 81/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 82/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 82/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 83/241, constructing abelian extensions
