[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 88/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 89/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 89/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 90/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 90/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 91/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 91/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 92/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 92/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 93/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 93/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 94/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 94/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 95/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 95/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 96/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 96/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 97/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 97/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 98/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 98/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 99/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 99/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 100/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 100/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 101/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 101/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 102/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 102/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 103/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 103/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 104/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 104/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 105/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 105/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 106/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 106/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 107/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 107/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 108/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 108/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 109/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 109/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 110/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 110/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 111/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 111/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 112/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 112/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 113/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 113/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 114/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 114/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 115/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 115/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 116/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 116/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 117/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 117/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 118/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 118/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 119/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 119/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 120/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 120/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 121/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 121/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 122/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 122/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 123/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 123/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 124/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 124/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 125/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 125/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 126/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 126/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 127/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 127/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 128/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 128/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 129/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 129/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 130/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 130/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 131/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 131/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 132/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 132/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 133/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 133/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 134/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 134/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 135/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 135/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 136/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 136/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 137/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 137/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 138/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 138/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 139/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 139/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 140/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 140/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 141/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 141/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 142/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 142/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 143/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 143/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 144/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 144/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 145/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 145/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 146/264, constructing abelian extensions
